name,id,u,v,length
Place du Casino,4229658,1204288436,9416149023,1.768
Place du Casino,4229658,9416149023,9416149017,1.791
Place du Casino,4229658,9416149017,25240073,2.255
Place du Casino,4229658,25240073,6485591471,3.227
Place du Casino,4229658,6485591471,1737146995,3.897
Place du Casino,4229658,1737146995,9416149014,2.594
Place du Casino,4229658,9416149014,9416149012,2.028
Place du Casino,4229658,9416149012,21913159,4.105
Place du Casino,4229658,21913159,6485591470,4.105
Place du Casino,4229658,6485591470,25240075,7.821
,4229893,25192169,8740874096,4.255
,4229893,8740874096,11070705447,4.473
,4229893,11070705447,8740874095,4.295
,4229893,8740874095,8721137225,3.532
,4229893,8721137225,25192010,3.254
,4229893,25192010,6444966476,3.512
,4229893,6444966476,1738379170,3.257
,4229893,1738379170,6485592104,3.218
Avenue Albert II,4229900,25238111,4939779390,2.53
Avenue Albert II,4229900,4939779390,4939779389,3.005
Avenue Albert II,4229900,4939779389,25204713,2.618
Avenue Albert II,4229900,25204713,4939779388,2.971
Avenue Albert II,4229900,4939779388,25204264,2.857
Avenue des Spélugues,4230006,1699777574,11146700934,14.197
Avenue des Spélugues,4230006,11146700934,1736929703,13.173
Avenue des Spélugues,4230006,1736929703,272637923,5.233
Avenue Princesse Grace,4230007,6485591888,1720684404,11.143
Avenue Princesse Grace,4230007,1720684404,25240093,2.888
Avenue Princesse Grace,4230007,25240093,1720684401,2.021
Avenue Princesse Grace,4230007,1720684401,1720684398,1.767
Avenue Princesse Grace,4230007,1720684398,1720684395,2.572
Avenue Princesse Grace,4230007,1720684395,21914573,3.132
Avenue Princesse Grace,4230007,21914573,1720684346,2.627
Avenue Princesse Grace,4230007,1720684346,1720684322,2.124
Avenue Princesse Grace,4230007,1720684322,1720684318,2.13
Avenue Princesse Grace,4230007,1720684318,25240091,2.637
Avenue Princesse Grace,4230007,25240091,1720684314,2.297
Avenue Princesse Grace,4230007,1720684314,1720684310,2.859
Avenue Princesse Grace,4230007,1720684310,25239175,3.096
Avenue Princesse Grace,4230007,25239175,1685108323,5.324
Avenue Princesse Grace,4230007,1685108323,1720684307,16.381
Avenue Princesse Grace,4230007,1720684307,1720684303,5.466
Avenue Princesse Grace,4230007,1720684303,11802279991,5.274
Avenue Princesse Grace,4230007,11802279991,1720684301,5.354
Avenue Princesse Grace,4230007,1720684301,1720684299,5.222
Avenue Princesse Grace,4230007,1720684299,1720684297,3.017
Avenue Princesse Grace,4230007,1720684297,21914666,1.948
Avenue de Monte-Carlo,4230009,21913117,9416149025,2.999
Avenue de Monte-Carlo,4230009,9416149025,6340961572,2.609
Avenue de Monte-Carlo,4230009,6340961572,9416149027,3.108
Avenue de Monte-Carlo,4230009,9416149027,5504673399,3.132
Avenue de Monte-Carlo,4230009,5504673399,6485591473,7.96
Avenue de Monte-Carlo,4230009,6485591473,1699777574,7.292
Avenue de la Madone,4230011,1868723952,8829633356,5.355
Avenue de la Madone,4230011,8829633356,6340961564,6.365
Avenue de la Madone,4230011,6340961564,1699777832,6.272
Avenue de la Madone,4230011,1699777832,21917383,7.397
Avenue de la Madone,4230011,21917383,6340961565,5.943
Avenue de la Madone,4230011,6340961565,25242840,6.634
Avenue de la Madone,4230011,25242840,25242841,26.626
Avenue de la Madone,4230011,25242841,6340961566,9.26
Avenue de la Madone,4230011,6340961566,21917400,8.551
Avenue de la Madone,4230011,21917400,6340961567,7.213
Avenue de la Madone,4230011,6340961567,25242842,7.321
Avenue de la Madone,4230011,25242842,6340961568,6.05
Avenue de la Madone,4230011,6340961568,25242844,7.929
Avenue de la Madone,4230011,25242844,6340961569,8.398
Avenue de la Madone,4230011,6340961569,21917445,6.49
Avenue de la Madone,4230011,21917445,272637723,4.08
Avenue de la Madone,4230011,272637723,272637784,30.971
Avenue de la Madone,4230011,272637784,25242845,4.347
Avenue de la Madone,4230011,25242845,1794111172,10.048
Avenue de la Madone,4230011,1794111172,1204288391,11.709
Avenue de la Madone,4230011,1204288391,9532804376,8.13
Avenue de la Madone,4230011,9532804376,21914841,7.13
Avenue Princesse Grace,4230044,1079751501,1685062049,7.727
Avenue Princesse Grace,4230044,1685062049,10665719662,9.008
Avenue Princesse Grace,4230044,10665719662,25242930,11.332
Avenue Princesse Grace,4230044,25242930,10665719661,16.951
Avenue Princesse Grace,4230044,10665719661,1685062094,15.716
Boulevard d'Italie,4230081,1352289907,3465728152,21.123
Boulevard d'Italie,4230081,3465728152,6464699548,14.607
Boulevard d'Italie,4230081,6464699548,10068880379,22.83
Boulevard d'Italie,4230081,10068880379,1352289942,32.309
Boulevard d'Italie,4230081,1352289942,1352289883,18.188
Boulevard d'Italie,4230081,1352289883,10068880377,10.303
Boulevard d'Italie,4230081,10068880377,5895918143,27.893
Boulevard d'Italie,4230081,5895918143,1079751357,13.779
,4230083,21928964,5895918140,7.641
,4230083,5895918140,5895918139,4.506
,4230083,5895918139,1079751049,4.082
,4230085,21930579,9400287711,6.583
,4230085,9400287711,1079750136,3.821
,4230085,1079750136,21930634,3.131
,4230085,21930634,8088347534,3.283
,4230085,8088347534,1080509805,3.54
,4230085,1080509805,21930641,5.699
,4230085,21930641,8088347535,4.613
,4230085,8088347535,8088347536,4.975
,4230085,8088347536,25243004,7.863
,4230085,25243004,25243005,29.074
,4230085,25243005,10068880364,15.414
,4230085,10068880364,21927758,6.604
Avenue Saint-Romain,4230099,21924057,21924037,6.487
Avenue Saint-Romain,4230099,21924037,1080509802,6.416
Avenue Saint-Romain,4230099,1080509802,9509167734,2.236
Avenue Saint-Romain,4230099,9509167734,1352289903,2.186
Avenue Saint-Romain,4230099,1352289903,1352289914,2.49
Avenue Saint-Romain,4230099,1352289914,9509167733,3.017
Avenue Saint-Romain,4230099,9509167733,1352289885,3.032
Avenue Saint-Romain,4230099,1352289885,1352289933,3.602
Avenue Saint-Romain,4230099,1352289933,11156269871,3.241
Avenue Saint-Romain,4230099,11156269871,25243155,8.756
Avenue Saint-Romain,4230099,25243155,1352289878,5.666
Avenue Saint-Romain,4230099,1352289878,1352289863,8.49
Avenue Saint-Romain,4230099,1352289863,5895918136,9.942
Avenue Saint-Romain,4230099,5895918136,21923800,5.732
Avenue Saint-Romain,4230099,21923800,25243154,6.678
Avenue Saint-Romain,4230099,25243154,1352289895,4.448
Avenue Saint-Romain,4230099,1352289895,5895918135,3.855
Avenue Saint-Romain,4230099,5895918135,1352289833,3.329
Avenue Saint-Romain,4230099,1352289833,3465728158,3.132
Avenue Saint-Romain,4230099,3465728158,3465728156,2.969
Avenue Saint-Romain,4230099,3465728156,25243153,3.048
Avenue Saint-Romain,4230099,25243153,21923770,4.686
Avenue Saint-Romain,4230099,21923770,25243151,6.511
Avenue Saint-Romain,4230099,25243151,11156269877,1.069
Avenue Saint-Romain,4230099,11156269877,11156269873,27.177
Avenue Saint-Romain,4230099,11156269873,11156269874,5.118
Avenue Saint-Romain,4230099,11156269874,5895918132,17.717
Avenue Saint-Romain,4230099,5895918132,1352289855,18.183
Avenue Saint-Romain,4230099,1352289855,5895918134,5.479
Avenue Saint-Romain,4230099,5895918134,1352289947,6.41
Avenue Saint-Romain,4230099,1352289947,25243148,6.08
Avenue Saint-Romain,4230099,25243148,5895918133,5.118
Avenue Saint-Romain,4230099,5895918133,21923681,5.097
Avenue Saint-Romain,4230099,21923681,1352289938,3.894
Avenue Saint-Romain,4230099,1352289938,25243149,3.597
Avenue Saint-Romain,4230099,25243149,1352289853,3.247
Lacets Saint-Léon,4230105,1868736651,1868736700,5.975
Lacets Saint-Léon,4230105,1868736700,21921805,13.52
Lacets Saint-Léon,4230105,21921805,4874757528,5.626
Lacets Saint-Léon,4230105,4874757528,25243164,28.806
Lacets Saint-Léon,4230105,25243164,9081931408,4.471
Lacets Saint-Léon,4230105,9081931408,21921833,73.795
Lacets Saint-Léon,4230105,21921833,9081931411,3.232
Lacets Saint-Léon,4230105,9081931411,1417930881,3.635
Lacets Saint-Léon,4230105,1417930881,25243163,2.55
Lacets Saint-Léon,4230106,25243163,7790532626,1.831
Lacets Saint-Léon,4230106,7790532626,7790532627,2.762
Lacets Saint-Léon,4230106,7790532627,7790532628,3.044
Lacets Saint-Léon,4230106,7790532628,2838235239,3.822
Lacets Saint-Léon,4230106,2838235239,7790532625,4.4
Lacets Saint-Léon,4230106,7790532625,25243162,4.749
Lacets Saint-Léon,4230106,25243162,7790532624,2.566
Lacets Saint-Léon,4230106,7790532624,7790532623,2.83
Lacets Saint-Léon,4230106,7790532623,7790532622,3.173
Lacets Saint-Léon,4230106,7790532622,21921856,3.56
Lacets Saint-Léon,4230106,21921856,25243161,28.004
Lacets Saint-Léon,4230106,25243161,9081931406,4.079
Lacets Saint-Léon,4230106,9081931406,21921870,15.04
Avenue de l'Annonciade,4230113,1864130082,25243187,4.28
Avenue de l'Annonciade,4230113,25243187,4874757523,5.095
Avenue de l'Annonciade,4230113,4874757523,21921503,4.128
Avenue de l'Annonciade,4230113,21921503,5898780724,20.392
Avenue de l'Annonciade,4230113,5898780724,25243186,6.469
Avenue de l'Annonciade,4230113,25243186,25243185,27.272
Avenue de l'Annonciade,4230113,25243185,1871563598,3.909
Avenue de l'Annonciade,4230113,1871563598,5898780721,5.142
Avenue de l'Annonciade,4230113,5898780721,21921482,4.242
Avenue de l'Annonciade,4230113,21921482,5898780722,6.003
Avenue de l'Annonciade,4230113,5898780722,25243184,6.143
